qn_ans_code,qn_text,qn_type,qn_label_godata_eng,qn_label_godata_ita,qn_label_godata_ara,qn_label_godata_ukr,ans_label,ans_value,qn_label,accept_na
Q1A2Q12A2,Did you receive specific training in the care of COVID-19 patients?,Single Answer,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,No,No,covid_specific_training,0
Q1A2Q12A3,Did you receive specific training in the care of COVID-19 patients?,Single Answer,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,Not sure,Not sure,covid_specific_training,0
Q1A2Q13A1,"In the past 14 days, outside of your occupational duties have you been in contact with a person or persons known to have been diagnosed with COVID-19?",Single Answer,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_19,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_19,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_19,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_19,Yes,Yes,contact_covid_outside,0
Q1A2Q13A1Q1A1,If yes: was this ,Multiple answers,if_yes_was_this,if_yes_was_this,if_yes_was_this,if_yes_was_this,household,household,contact_covid_outside_persontype,1
Q1A2Q13A1Q1A2,If yes: was this ,Multiple answers,if_yes_was_this,if_yes_was_this,if_yes_was_this,if_yes_was_this,professional colleagues,professional colleagues,contact_covid_outside_persontype,1
Q1A2Q13A1Q1A2Q1A1,How many days have you been in contact?,Single Answer,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,Most days (≥8 days),Most days (≥8 days),contact_covid_outside_persontype_days,1
Q1A2Q13A1Q1A2Q1A2,How many days have you been in contact?,Single Answer,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,Some days (4-7 days),Some days (4-7 days),contact_covid_outside_persontype_days,1
Q1A2Q13A1Q1A2Q1A3,How many days have you been in contact?,Single Answer,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,how_many_days_have_you_been_in_contact,Few days (≤3 days),Few days (≤3 days),contact_covid_outside_persontype_days,1
Q1A2Q13A1Q1A3,If yes: was this ,Multiple answers,if_yes_was_this,if_yes_was_this,if_yes_was_this,if_yes_was_this,"everyday social interactions (e.g. public transport, market)","everyday social interactions (e.g. public transport, market)",contact_covid_outside_persontype,1
Q1A2Q13A2,"In the past 14 days, outside of your occupational duties have you been in contact with a person or persons known to have been diagnosed with COVID-19?",Single Answer,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_20,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_20,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_20,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_20,No,No,contact_covid_outside,0
Q1A2Q13A3,"In the past 14 days, outside of your occupational duties have you been in contact with a person or persons known to have been diagnosed with COVID-19?",Single Answer,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_21,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_21,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_21,in_the_past_14_days_outside_of_your_occupational_duties_have_you_been_in_contact_with_person_s_known_to_be_diagnosed_with_covid_21,Not sure,Not sure,contact_covid_outside,0
Q1A2Q14A1,"In the past 14 days, how often have you used public transport?",Single Answer,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,Most days (≥8 days),Most days (≥8 days),public_transport,0
Q1A2Q14A2,"In the past 14 days, how often have you used public transport?",Single Answer,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,Some days (4-7 days),Some days (4-7 days),public_transport,0
Q1A2Q14A3,"In the past 14 days, how often have you used public transport?",Single Answer,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,Few days (≤3 days),Few days (≤3 days),public_transport,0
Q1A2Q14A4,"In the past 14 days, how often have you used public transport?",Single Answer,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,in_the_past_14_days_how_often_have_you_used_public_transport,Not used public transport,Not used public transport,public_transport,0
Q1A2Q15A1,"In the past 14 days, how often have you had social interaction with individuals outside of work, home or transport (e.g. in markets, shops etc.)?",Single Answer,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,Most days (≥8 days),Most days (≥8 days),contact_social_outside,0
Q1A2Q15A2,"In the past 14 days, how often have you had social interaction with individuals outside of work, home or transport (e.g. in markets, shops etc.)?",Single Answer,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,Some days (4-7 days),Some days (4-7 days),contact_social_outside,0
Q1A2Q15A3,"In the past 14 days, how often have you had social interaction with individuals outside of work, home or transport (e.g. in markets, shops etc.)?",Single Answer,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,Few days (≤3 days),Few days (≤3 days),contact_social_outside,0
Q1A2Q15A4,"In the past 14 days, how often have you had social interaction with individuals outside of work, home or transport (e.g. in markets, shops etc.)?",Single Answer,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,in_the_past_14_days_how_often_have_you_had_social_interaction_with_individuals_outside_of_work_home_or_transport_e_g_market_shops_etc,Not had any other social interaction,Not had any other social interaction,contact_social_outside,0
Q1A2Q16A1,What was the date of your most recent IPC training within the health care facility?,Single Answer,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,I remember the date,I remember the date,ipc_training_latest,0
Q1A2Q16A1Q1,Enter date,Date/Time,enter_date,enter_date,enter_date,enter_date,NA,NA,ipc_training_latest_date,1
Q1A2Q16A2,What was the date of your most recent IPC training within the health care facility?,Single Answer,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,Forgotten/Not sure,Forgotten/Not sure,ipc_training_latest,0
Q1A2Q16A3,What was the date of your most recent IPC training within the health care facility?,Single Answer,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,what_date_was_your_most_recent_infection_prevention_and_control_ipc_training_within_the_health_care_facility,I don’t know what IPC standard precautions are,I don’t know what IPC standard precautions are,ipc_training_latest,0
Q1A2Q17A1,"How much cumulative IPC training (standard precautions, additional precautions) have you received at this health care facility?",Single Answer,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,Less than 2 hours,Less than 2 hours,ipc_training_hours,0
Q1A2Q17A2,"How much cumulative IPC training (standard precautions, additional precautions) have you received at this health care facility?",Single Answer,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,More than 2 hours,More than 2 hours,ipc_training_hours,0
Q1A2Q17A3,"How much cumulative IPC training (standard precautions, additional precautions) have you received at this health care facility?",Single Answer,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,how_much_cumulative_ipc_training_standard_precautions_additional_precautions_have_you_had_at_this_health_care_facility,I don’t know what IPC standard precautions are,I don’t know what IPC standard precautions are,ipc_training_hours,0
Q1A2Q18A1,"Was the IPC training on personal protective equipment (PPE) carried out remotely (e.g. presentations only, e-learning) or were practical sessions on standard precautions/additional precautions conducted?",Single Answer,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,Only remotely/theoretical,Only remotely/theoretical,ipc_training_inperson,0
Q1A2Q18A2,"Was the IPC training on personal protective equipment (PPE) carried out remotely (e.g. presentations only, e-learning) or were practical sessions on standard precautions/additional precautions conducted?",Single Answer,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,Only practical,Only practical,ipc_training_inperson,0
Q1A2Q18A3,"Was the IPC training on personal protective equipment (PPE) carried out remotely (e.g. presentations only, e-learning) or were practical sessions on standard precautions/additional precautions conducted?",Single Answer,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,Both,Both,ipc_training_inperson,0
Q1A2Q18A4,"Was the IPC training on personal protective equipment (PPE) carried out remotely (e.g. presentations only, e-learning) or were practical sessions on standard precautions/additional precautions conducted?",Single Answer,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,was_the_ipc_training_on_ppe_done_remotely_e_g_presentations_only_e_learning_or_were_practical_sessions_on_standard_precautions_additional_precautions,I don’t know what IPC standard precautions are,I don’t know what IPC standard precautions are,ipc_training_inperson,0
Q1A2Q19A1,Do you know the recommended moments for hand hygiene in health care?,Single Answer,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,I don't know them,,hh_moments_aware,0
Q1A2Q19A2,Do you know the recommended moments for hand hygiene in health care?,Single Answer,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,"Yes, all 3","Yes, all 3",hh_moments_aware,0
Q1A2Q19A3,Do you know the recommended moments for hand hygiene in health care?,Single Answer,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,"Yes, all 4","Yes, all 4",hh_moments_aware,0
Q1A2Q19A4,Do you know the recommended moments for hand hygiene in health care?,Single Answer,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,"Yes, all 5","Yes, all 5",hh_moments_aware,0
Q1A2Q19A5,Do you know the recommended moments for hand hygiene in health care?,Single Answer,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,do_you_know_the_recommended_moments_for_hand_hygiene_in_healthcare,"Yes, all 6","Yes, all 6",hh_moments_aware,0
Q1A2Q2,Name of health care facility,Freetext,name_of_health_care_facility,name_of_health_care_facility,name_of_health_care_facility,name_of_health_care_facility,NA,NA,init_hcf_name,0
Q1A2Q20A1,Do you follow recommended hand hygiene practices?,Single Answer,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,"Always, as recommended","Always, as recommended",hh_moments_practice,0
Q1A2Q20A2,Do you follow recommended hand hygiene practices?,Single Answer,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,Most of the time,Most of the time,hh_moments_practice,0
Q1A2Q20A3,Do you follow recommended hand hygiene practices?,Single Answer,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,Occasionally,Occasionally,hh_moments_practice,0
Q1A2Q20A4,Do you follow recommended hand hygiene practices?,Single Answer,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,Rarely,Rarely,hh_moments_practice,0
Q1A2Q20A5,Do you follow recommended hand hygiene practices?,Single Answer,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,do_you_follow_recommended_hand_hygiene_practices,Never,Never,hh_moments_practice,0
Q1A2Q21A1,Do you use alcohol-based hand rub or soap and water before touching a patient?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,"Always, as recommended","Always, as recommended",hh_pt_bf,0
Q1A2Q21A2,Do you use alcohol-based hand rub or soap and water before touching a patient?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,Most of the time,Most of the time,hh_pt_bf,0
Q1A2Q21A3,Do you use alcohol-based hand rub or soap and water before touching a patient?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,Occasionally,Occasionally,hh_pt_bf,0
Q1A2Q21A4,Do you use alcohol-based hand rub or soap and water before touching a patient?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,Rarely,Rarely,hh_pt_bf,0
Q1A2Q21A5,Do you use alcohol-based hand rub or soap and water before touching a patient?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_touching_a_patient,Never,Never,hh_pt_bf,0
Q1A2Q22A1,Do you use alcohol-based hand rub or soap and water before cleaning/aseptic procedures?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,"Always, as recommended","Always, as recommended",hh_procedure_bf,0
Q1A2Q22A2,Do you use alcohol-based hand rub or soap and water before cleaning/aseptic procedures?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,Most of the time,Most of the time,hh_procedure_bf,0
Q1A2Q22A3,Do you use alcohol-based hand rub or soap and water before cleaning/aseptic procedures?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,Occasionally,Occasionally,hh_procedure_bf,0
Q1A2Q22A4,Do you use alcohol-based hand rub or soap and water before cleaning/aseptic procedures?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,Rarely,Rarely,hh_procedure_bf,0
Q1A2Q22A5,Do you use alcohol-based hand rub or soap and water before cleaning/aseptic procedures?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,do_you_use_alcohol_based_hand_rub_or_soap_and_water_before_cleaning_aseptic_procedures,Never,Never,hh_procedure_bf,0
Q1A2Q23A1,Do you use alcohol-based hand rub or soap and water after (risk of) body fluid exposure?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,"Always, as recommended","Always, as recommended",hh_bodyfld_aft,0
Q1A2Q23A2,Do you use alcohol-based hand rub or soap and water after (risk of) body fluid exposure?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,Most of the time,Most of the time,hh_bodyfld_aft,0
Q1A2Q23A3,Do you use alcohol-based hand rub or soap and water after (risk of) body fluid exposure?,Single Answer,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,do_you_use_alcohol_based_hand_rub_or_soap_and_water_after_risk_of_body_fluid_exposure,Occasionally,Occasionally,hh_bodyfld_aft,0
